dataset,accuracy_nn,accuracy_logreg,f1_nn,f1_logreg,auc_nn,auc_logreg
power-at-train.tsv,0.7923,0.8043,0.6899,0.7069,0.8599,0.8683
power-ba-train.tsv,0.8251,0.893,0.9013,0.9435,0.6302,0.6423
power-be-train.tsv,0.5985,0.589,0.6326,0.6307,0.6261,0.632
power-bg-train.tsv,0.6776,0.7082,0.6609,0.7165,0.7452,0.782
power-cz-train.tsv,0.6454,0.6366,0.6189,0.6439,0.696,0.724
power-dk-train.tsv,0.6838,0.7336,0.7718,0.8084,0.7346,0.7692
power-es-ct-train.tsv,0.7896,0.8026,0.8411,0.8629,0.8746,0.9067
power-es-ga-train.tsv,0.7941,0.7118,0.7445,0.7721,0.9349,0.9437
power-es-pv-train.tsv,0.6553,0.6128,0.6798,0.6762,0.7769,0.8095
power-es-train.tsv,0.8243,0.8372,0.8811,0.8984,0.8657,0.8889
power-fi-train.tsv,0.6651,0.6867,0.6021,0.6016,0.7136,0.753
power-fr-train.tsv,0.7026,0.749,0.5609,0.5797,0.7598,0.7971
power-gb-train.tsv,0.7614,0.7806,0.7859,0.8151,0.8424,0.8575
power-gr-train.tsv,0.8223,0.8393,0.8613,0.8713,0.9343,0.9307
power-hr-train.tsv,0.682,0.7126,0.599,0.5658,0.7293,0.757
power-hu-train.tsv,0.8665,0.8279,0.8565,0.8044,0.9364,0.9254
power-it-train.tsv,0.7432,0.7565,0.6264,0.6102,0.8078,0.828
power-lv-train.tsv,0.7237,0.6349,0.5714,0.112,0.7258,0.7326
power-nl-train.tsv,0.6423,0.6677,0.5975,0.5476,0.6961,0.7331
power-pl-train.tsv,0.7344,0.7648,0.7588,0.7983,0.8192,0.8378
power-pt-train.tsv,0.7317,0.7595,0.6262,0.6388,0.7859,0.8062
power-rs-train.tsv,0.8133,0.7997,0.6857,0.5976,0.8778,0.882
power-si-train.tsv,0.6963,0.7368,0.5359,0.5021,0.7209,0.7527
power-tr-train.tsv,0.866,0.8708,0.8603,0.8657,0.9447,0.9495
power-ua-train.tsv,0.7204,0.7621,0.5734,0.4836,0.7565,0.7969
